               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11146,            0.015833,            0.076846,            0.002259,            0.078947,           0.0014381,          0.00023575,            0.092649,            0.011283,            0.069202,              0.0982,              0.0002,              0.0002
                   1,             0.10842,            0.015287,            0.076715,           0.0037369,             0.13158,           0.0026116,          0.00045455,            0.088331,             0.01187,            0.067861,            0.095499,          0.00049901,          0.00049901
                   2,             0.10196,             0.01851,            0.072193,           0.0043605,             0.15789,           0.0035778,          0.00053301,            0.080762,            0.012874,            0.065365,            0.092797,          0.00079683,          0.00079683
                   3,            0.098164,            0.019089,            0.072622,            0.002584,             0.10526,           0.0017138,          0.00034762,            0.070799,            0.014181,            0.063865,            0.090093,           0.0010935,           0.0010935
                   4,            0.085682,            0.022289,            0.066666,           0.0021075,             0.10526,           0.0013143,          0.00033042,            0.062689,            0.015036,            0.060744,            0.087389,           0.0013889,           0.0013889
                   5,            0.081036,            0.023758,            0.061369,           0.0023674,             0.13158,           0.0014964,          0.00036614,            0.058834,            0.015336,            0.057189,            0.084683,           0.0016832,           0.0016832
                   6,             0.07849,            0.022929,            0.060006,           0.0047529,             0.30921,           0.0035483,          0.00069293,            0.051793,            0.016041,            0.051484,            0.081976,           0.0019762,           0.0019762
                   7,            0.072494,            0.026907,            0.057054,           0.0099461,             0.76316,            0.012711,           0.0050593,            0.049603,            0.015817,            0.047076,            0.079268,           0.0022681,           0.0022681
                   8,            0.074747,            0.021002,             0.05397,            0.011251,                   1,            0.046042,            0.013999,            0.048287,            0.015403,            0.041138,            0.076559,           0.0025588,           0.0025588
                   9,            0.072671,            0.025666,            0.050505,            0.010739,                   1,             0.12234,            0.037648,            0.048274,            0.015062,            0.037897,            0.073848,           0.0028483,           0.0028483
                  10,            0.068474,            0.026238,             0.04688,              0.1891,             0.41579,             0.34236,             0.11091,            0.049275,            0.013953,             0.03286,            0.071137,           0.0031366,           0.0031366
                  11,            0.067291,            0.028909,            0.042352,             0.36008,             0.53947,             0.35523,            0.096828,            0.047184,            0.013425,            0.031309,            0.068424,           0.0034238,           0.0034238
                  12,            0.065326,            0.021093,            0.040276,             0.23994,             0.48026,             0.34962,            0.059781,            0.052619,            0.011656,            0.028352,             0.06571,           0.0037097,           0.0037097
                  13,            0.066963,            0.024097,             0.03807,             0.09901,              0.7927,             0.15257,            0.046467,            0.057055,            0.010594,            0.027343,            0.062994,           0.0039945,           0.0039945
                  14,             0.06665,            0.024578,            0.036242,            0.050082,             0.51447,            0.057568,            0.023205,            0.072214,           0.0089492,            0.026486,            0.060278,            0.004278,            0.004278
                  15,            0.072192,            0.016161,            0.034664,             0.29603,             0.40395,             0.36706,            0.079135,            0.058753,           0.0093331,            0.025767,             0.05756,           0.0045604,           0.0045604
                  16,            0.063168,            0.017382,            0.034114,             0.29435,             0.66713,             0.39781,             0.13436,            0.054197,           0.0096091,            0.023881,            0.054842,           0.0048416,           0.0048416
                  17,             0.06528,            0.016416,            0.031037,             0.17184,             0.23684,              0.2171,            0.099415,            0.062763,           0.0090822,            0.022099,            0.052122,           0.0051216,           0.0051216
                  18,            0.070699,            0.017766,            0.031025,             0.35132,             0.76974,              0.4666,             0.15958,            0.043882,           0.0098105,            0.020661,              0.0494,           0.0054004,           0.0054004
                  19,            0.062389,            0.017685,            0.030382,             0.21209,             0.74605,             0.37505,             0.13617,            0.071097,           0.0087762,            0.020031,            0.046678,            0.005678,            0.005678
                  20,            0.079122,            0.014828,            0.029779,              0.2355,             0.74342,             0.29087,             0.11875,            0.053079,           0.0092381,            0.018613,            0.043954,           0.0059545,           0.0059545
                  21,             0.06188,            0.016521,            0.029052,              0.4017,             0.81842,             0.57389,             0.15696,            0.056767,           0.0089252,            0.017087,             0.04123,           0.0062297,           0.0062297
                  22,            0.068421,            0.017143,            0.030043,             0.13149,             0.81974,             0.15229,            0.061262,            0.066956,           0.0088295,            0.015978,            0.038504,           0.0065038,           0.0065038
                  23,            0.077131,             0.01584,            0.028256,             0.30999,             0.59474,             0.42921,             0.12625,            0.059116,           0.0086089,            0.014347,            0.035777,           0.0067767,           0.0067767
                  24,            0.067636,            0.016758,            0.026115,                 0.3,             0.72105,             0.41169,             0.17585,            0.056873,           0.0085785,            0.012842,            0.033048,           0.0070484,           0.0070484
                  25,            0.063087,            0.016537,            0.024828,             0.60718,             0.71561,             0.71765,             0.34323,            0.048761,           0.0088629,            0.012089,            0.030319,           0.0073188,           0.0073188
                  26,             0.06311,            0.015669,             0.02568,             0.65895,             0.73221,             0.71951,             0.27283,            0.059556,           0.0086228,            0.011263,            0.027588,           0.0075882,           0.0075882
                  27,            0.072257,            0.015698,            0.025645,             0.52218,             0.69079,              0.5582,             0.13507,            0.048919,           0.0092757,            0.010058,            0.024856,           0.0078563,           0.0078563
                  28,            0.067873,            0.017017,            0.021975,             0.52218,             0.69079,              0.5582,             0.13507,            0.048919,           0.0092757,            0.010058,            0.022123,           0.0081232,           0.0081232
                  29,            0.056497,            0.014407,            0.022847,             0.61988,             0.81842,             0.70086,              0.1893,            0.047932,            0.009038,            0.009571,            0.019389,            0.008389,            0.008389
                  30,            0.063897,            0.016837,            0.023614,             0.45522,             0.77511,             0.59847,             0.23416,            0.055674,           0.0082579,           0.0090906,            0.016654,           0.0086535,           0.0086535
                  31,             0.06978,            0.013322,            0.022921,             0.53267,             0.76986,             0.62982,             0.21873,            0.057194,           0.0077566,           0.0086026,            0.013917,           0.0089169,           0.0089169
                  32,            0.065368,              0.0153,            0.022173,             0.53267,             0.76986,             0.62982,             0.21873,            0.057194,           0.0077566,           0.0086026,            0.011179,           0.0091791,           0.0091791
                  33,            0.067455,            0.015438,            0.022229,             0.43472,             0.81579,             0.59258,              0.1862,            0.049827,           0.0081395,           0.0087359,           0.0093466,           0.0093466,           0.0093466
                  34,            0.067005,             0.01495,             0.01912,             0.40405,             0.78872,             0.54049,             0.23439,            0.052432,           0.0073602,           0.0088369,           0.0093466,           0.0093466,           0.0093466
                  35,            0.067197,            0.015961,            0.020585,             0.21404,             0.61579,             0.17639,            0.050998,            0.061163,           0.0071833,           0.0091509,           0.0093268,           0.0093268,           0.0093268
                  36,            0.083417,            0.013244,            0.019631,             0.21404,             0.61579,             0.17639,            0.050998,            0.061163,           0.0071833,           0.0091509,            0.009307,            0.009307,            0.009307
                  37,            0.070646,            0.015919,            0.021086,             0.60569,             0.57599,             0.60807,             0.22219,            0.048025,           0.0070164,            0.012048,           0.0092872,           0.0092872,           0.0092872
                  38,            0.061866,            0.013389,             0.01667,             0.50932,             0.53684,              0.6011,             0.32903,            0.049903,           0.0069375,             0.01246,           0.0092674,           0.0092674,           0.0092674
                  39,            0.063113,            0.013706,            0.019089,             0.50668,             0.57789,             0.63513,             0.27344,             0.05316,           0.0072746,           0.0098851,           0.0092476,           0.0092476,           0.0092476
                  40,            0.065189,            0.013698,            0.019499,             0.50668,             0.57789,             0.63513,             0.27344,             0.05316,           0.0072746,           0.0098851,           0.0092278,           0.0092278,           0.0092278
                  41,            0.061688,            0.014211,            0.016356,             0.63075,             0.71053,             0.76652,             0.40723,            0.048457,           0.0072495,           0.0093336,            0.009208,            0.009208,            0.009208
                  42,            0.057733,            0.014903,            0.017198,             0.66399,             0.73684,             0.84442,             0.43819,            0.050596,           0.0074434,           0.0074863,           0.0091882,           0.0091882,           0.0091882
                  43,            0.065884,            0.011713,            0.016336,             0.41966,              0.7949,             0.64382,             0.25107,            0.044134,           0.0074101,           0.0077249,           0.0091684,           0.0091684,           0.0091684
                  44,             0.05679,            0.014482,            0.018721,             0.41966,              0.7949,             0.64382,             0.25107,            0.044134,           0.0074101,           0.0077249,           0.0091486,           0.0091486,           0.0091486
                  45,            0.051355,            0.012682,            0.014519,             0.50077,             0.77236,             0.67591,             0.25941,            0.034163,           0.0074257,           0.0078003,           0.0091288,           0.0091288,           0.0091288
